3013, H, 3822, 4079
3154, K, 2851, 3246
321, X, 385, 4813
540, L, 1954, 1061
4283, h, 2152, 55
4613, K, 506, 2467
970, s, 4586, 183
4233, A, 2919, 184
3244, N, 2721, 2769
4435, C, 786, 3860
802, z, 849, 1887
1368, K, 4981, 4934
2909, W, 3252, 251
1785, o, 3993, 1868
4914, z, 209, 3753
2072, c, 2837, 37
4499, H, 597, 4568
1608, r, 461, 3991
3514, R, 3349, 3059
4636, M, 4115, 1611
350, d, 650, 3324
1130, H, 761, 1054
3922, R, 2392, 2496
2658, B, 3299, 4282
3998, Z, 1054, 2719
1620, X, 4208, 1151
2415, e, 1580, 101
1874, E, 1159, 1316
1953, J, 2859, 4059
884, f, 2268, 3777
123, J, 4434, 2437
75, F, 3490, 1479
3076, q, 2819, 581
3379, W, 3286, 4897
1371, H, 1200, 3770
2528, N, 3848, 4430
1370, z, 4532, 1551
3964, G, 3484, 3558
2535, l, 4877, 2829
2420, B, 4522, 3165
3959, r, 1714, 3708
3085, L, 483, 3763
1539, r, 1341, 4951
947, t, 4968, 2439
4897, F, 2823, 843
3748, Q, 3583, 935
2009, p, 3513, 4441
4908, L, 2296, 4174
2188, Q, 211, 3545
4734, x, 1962, 4777
2944, S, 482, 4856
2871, f, 3047, 1456
1768, D, 4009, 3838
731, H, 2963, 2343
2725, d, 2367, 3102
118, V, 73, 2044
99, F, 4655, 3912
2058, u, 3114, 2427
2818, B, 517, 941
1787, p, 1202, 3991
760, x, 2762, 761
2541, q, 3073, 2872
4837, f, 3710, 4604
3710, D, 3240, 4869
4509, j, 2922, 764
1461, K, 3034, 140
1034, t, 2154, 2129
2045, X, 961, 1714
3821, U, 3018, 4658
2816, y, 395, 376
2189, R, 1769, 1860
2992, N, 2207, 775
62, p, 537, 1774
157, o, 4285, 704
2682, o, 2597, 1485
3547, E, 3169, 2039
2323, q, 238, 3801
2358, t, 2631, 78
3254, G, 720, 4026
3910, u, 1248, 2237
3338, H, 1422, 122
3407, v, 2770, 3112
2713, p, 4390, 4819
4501, V, 3827, 4115
2047, w, 263, 2689
2343, M, 960, 2230
2574, k, 2298, 884
422, H, 4246, 4587
1927, g, 4271, 4504
3940, K, 2542, 4467
4294, w, 489, 2218
4859, t, 1283, 1074
854, u, 213, 3584
3800, z, 1065, 2605
5000, y, 1175, 3665
4951, z, 392, 2872
3029, j, 180, 4498
1739, g, 1587, 620
930, y, 3814, 345
30, s, 3577, 3274
347, G, 2608, 4355
1643, V, 4673, 364
1040, y, 2979, 1846
4285, N, 751, 4205
111, X, 1751, 1989
4503, h, 1755, 1399
145, R, 1223, 3309
487, u, 1908, 747
3841, v, 4910, 435
1514, R, 2857, 855
2282, f, 1034, 655
115, W, 2495, 3899
2672, U, 255, 3022
1864, a, 3573, 4684
1804, G, 3739, 1834
2354, j, 1589, 189
4591, x, 444, 4846
1041, G, 3775, 235
3942, y, 860, 4013
1599, A, 1195, 1723
3933, g, 429, 4900
2144, e, 4294, 2575
767, F, 3916, 3102
1298, K, 4298, 3960
4923, G, 138, 4613
4051, m, 599, 1203
3660, w, 4639, 3928
2864, F, 317, 4035
3255, K, 355, 2000
4230, d, 3571, 1177
655, i, 685, 1652
4766, p, 1174, 4940
4733, u, 3641, 2314
1646, n, 1209, 4848
2658, C, 4460, 4629
4218, g, 2884, 432
2328, E, 2705, 1139
4588, J, 549, 1669
1693, B, 782, 2647
1781, h, 2423, 1997
4478, l, 23, 2480
977, K, 3196, 351
1572, r, 4266, 3422
985, w, 4845, 784
799, G, 3308, 2562
1339, H, 1184, 203
2160, j, 2245, 3306
1722, h, 2272, 218
2402, s, 4196, 3164
1872, j, 4933, 2819
